14.3	15.4	0.31
15.9	17.2	0.647
15.6	18.4	1.191
12.6	14.7	1.377
9.3	11	1.688
10.7	10.3	1.861
12.6	11.4	2.731
11.8	12.6	2.561
13.1	11.1	1.941
15.4	13	2.001
14.4	15.2	2.268
14.8	14	1.66
16.9	14.2	1.293
16.2	14.2	1.115
14.6	13.7	0.968
11.3	12.7	0.976
11.1	10.9	1.04
8.5	8.9	1.101
9.3	9	1.41
9.9	10.6	1.76
13.2	12.8	1.533
15.3	17.2	1.616
17	11.7	2.002
17.3	12.6	2.228
15.8	13.3	2.483
13.5	10.4	2.384
13	9.5	2.035
13.7	9.3	3.596
13.7	11.8	4.346
12.4	8.2	3.916
12.7	10.3	2.976
9.2	7.4	2.906
9	9.2	3.187
8	5.7	2.234
7.3	7.7	1.525
5.1	5.2	0.803
6.5	3.8	0.525
7.5	6.1	0.686
9.5	9.1	0.125
13.7	13.7	0.128
13.2	13.3	0.106
10.9	10.9	0.104
12.6	13.3	0.109
12.5	12.6	0.102
9.9	8.6	0.113
12.3	10	0.125
9.5	9.5	0.15
7.3	5.8	0.189
5.8	6.2	0.198
6.5	4.9	0.229
5.8	5.8	0.431
9.1	9.5	0.689
9.4	8.8	0.772
7.8	8.6	0.831
7.2	7.5	0.943
7.4	8.1	0.978
6.9	3.9	1.019
7.7	8.2	1.133
7	8.2	1.147
7.5	7.7	1.147
4.5	4	1.108
4.4	5.2	1.026
3.9	5	1.036
1.9	2.9	1.06
2.9	3.5	1.042
0.5	1.2	0.975
-0.1	0.4	0.914
-1.7	-0.3	0.91
-0.7	-0.4	0.899
1	-0.1	0.924
-0.4	1.1	1.007
-0.6	0.4	1.001
-6.7	-4.8	1
-3.2	-1.9	0.788
-0.5	0	0.332
-1.7	-2.4	0.509
-1.1	-1.4	0.646
-1.7	-0.4	0.689
-1.1	-0.9	0.824
1.2	-4.6	0.902
-1.6	-5.2	1.023
0.4	0.7	0.954
1.2	0.5	0.91
2.4	2	0.869
2.1	2.6	1.074
2.7	4.1	1.231
2.8	4.2	1.28
1.3	1.2	1.539
-1.4	-0.5	2.077
-1	0	1.745
0.1	1.2	1.353
1.2	1.9	1.127
1.6	2.9	1.171
2.2	3.7	1.215
0.7	2.5	1.246
-2	-1.7	1.271
-2	-0.7	4.935
-1.6	-0.9	7.993
0.9	1.8	4.718
-1.1	0.5	2.888
0.9	1.8	2.872
1.2	2.2	3.455
2.6	4.8	3.814
-0.5	0.6	4.699
1.1	-1.8	10.679
-2.3	-1.5	13.379
-3.7	-2.7	9.389
-6.3	-7.1	6.949
-7.7	-7	4.029
-5.2	-4.5	2.279
0.3	0	2.119
0.8	1.2	2.439
0.1	1.1	3.146
0.3	0.7	3.31
0	0.6	3.219
-2.1	-0.9	3.077
-1.1	0.3	2.78
-1.8	-4.8	2.04
-0.8	-5	2.01
-3.8	-6.6	1.77
-6.7	-8.8	1.38
-6.2	-7.3	1.8
-3	-4.3	1.77
-6	-3.6	1.6
-4.1	-4.4	1.53
-5.2	-5	1.59
-4.6	-3.7	1.53
-1.7	-1.1	1.59
-5	-3.4	1.53
-1.7	-1.3	1.55
0.6	2.5	1.332
-12.2	-8.6	1.41
-15.4	-14.4	1.68
-12.5	-14.6	1.81
-9.4	-8.5	1.82
-8	-7.8	1.77
-7.3	-7.3	1.65
-8	-8.5	1.64
-7.9	-10.8	1.55
-9.5	-11.9	1.291
-5.9	-5.2	1.18
-4.8	-4.7	1.175
-7.8	-6.8	1.156
-5.8	-4.5	1.109
-4.8	-4	1.126
-10.2	-10.3	1.173
-11.4	-12.2	1.175
-1.9	-1.2	1.175
0.7	2.2	1.19
-1.3	-0.1	1.238
-0.4	-0.1	1.286
-0.7	-2	1.63
-1.9	-2.6	2.49
-1	-0.9	2.77
-3.2	-3.4	2.57
-1.7	-1.2	2.3
0.2	0.4	2.02
1.4	2.9	2.056
2	1.8	2.202
3.4	2.6	2.423
4.4	3.2	3.804
1.3	1.6	6.623
-0.1	0.4	6.558
-2.1	-1.3	7.276
-1.9	-0.8	7.192
-2.9	-2.7	6.46
-4.5	-3.2	5.037
-4.8	-3	3.461
-3.5	-3.1	1.933
-2.2	-1.3	1.794
-3.5	-3	2.076
-1.6	-1	1.557
-1.7	-1.6	1.353
-3.2	-2.5	1.317
-0.8	-0.1	1.449
-1.2	-2.3	1.449
-3.3	-3.8	1.709
-0.9	0.3	2.049
1.5	2.2	2.051
2.1	2.4	3.569
-4.7	-4	8.5
-4.8	-4	10.9
-2.8	-1.7	8.9
-1.8	-0.4	6.7
0.8	2.3	5.55
0.2	2.1	4.6
0.7	1.7	4.45
0	0.4	4.45
-0.4	1.1	4.28
1.3	2.1	4.46
1	0.2	5.05
0.7	0	7.23
1.9	2	8.97
2.3	3.4	10.112
5.2	6.4	16.892
9.1	8.1	22.869
6.8	5.6	51.915
7.5	7.4	78.427
8.2	9.3	101.718
8.5	10.2	107.627
9.6	10.9	108.619
10.5	11	101.619
8.2	9.4	95.719
4.5	4.8	86.613
4	4.7	59.94
4.5	5.8	37.165
4.9	6.4	27.083
8.3	9.8	21.343
7.2	7.6	17.04
3.5	5.5	14.64
5.4	7.1	11.74
4.7	6.3	12.24
6.9	8.2	14.04
7	8.4	12.643
8.8	9.1	11.376
10.5	12.1	10.272
10.7	11.4	8.448
9.7	10.4	7.371
11.7	12.4	9.161
12.9	13.9	8.991
14.1	14.7	8.331
15.4	15.4	8.061
11.9	12.9	7.321
13.9	14.2	5.921
17.6	17.2	5.701
16.9	17.9	5.701
16.3	17.7	5.698
10.6	11	5.502
6.6	9.3	5.51
5.8	7	6.032
8.7	10.8	6.41
12	14.2	5.62
15	14.4	5.509
14.7	15.4	5.659
16.9	15.4	5.456
16.5	15.5	4.56
15.9	15.6	3.783
16.2	14.8	2.243
16.3	17.1	2.47
14.1	14.9	2.808
14.3	16.1	2.638
16.4	15.9	2.352
14.7	14.9	2.239
13.4	14.4	2.189
14.4	15.4	2.151
15.9	16.7	2.25
14.5	16	2.259
15.7	16.3	2.262
13.2	15.9	1.85
13	15.1	2.061
12.8	15.2	2.811
18.8	18.5	2.911
13.8	15.7	2.831
11.9	13.8	2.811
12	13	2.401
11.2	12.4	2.171
12.3	14.2	2.101
13.1	14.9	2.271
10.8	13	2.621
9	10.4	3.161
8.2	10	3.371
7.1	10.3	3.171
13.1	14.6	3.041
13.8	14.1	2.831
9.4	11.2	2.54
8.3	9.8	2.312
9.9	12.3	1.97
11.1	13	1.47
13.1	14.2	1.42
16.2	16	1.509
15.1	17.3	1.571
18.3	19.5	1.499
20.8	22.9	1.429
22	22.6	1.361
22.2	22.8	1.306
